	ART_C_PROD_NUMBER	ART_V_ART_DESCRIPTION
0	139428	139428.16 Royal Canin British Shorthair Adult - Sparpaket 2 x 10 kg
1	523432	523432.4 Bozita Original - 12 kg + 1,8 kg gratis
2	468126	468126.4 Sparpaket Lukullus feine Kauknochen 36 x 5 cm (360 g) - Ente
3	445245	445245.29 Sparpaket Animonda Carny Adult 24 x 200 g - Mix Fleisch (4 Sorten)
5	451643	451643.2 Felix Häppchen in Gelee oder Leckerbissen in Soße 6 x 400 g - Häppchen in Gelee Kaninchen & Ente
6	451643	451643.0 Felix Häppchen in Gelee oder Leckerbissen in Soße 6 x 400 g - Häppchen in Gelee Ente & Geflügel
7	199687	199687.0 Rocco Rinderlunge - 500 g
8	199737	199737.0 Rocco Dörrfleisch - 500 g
9	183831	183831.2 Savic Refresh'r Wipes Sensitive - 5 x 20 Stück
10	145415	145415.2 SturdiBag Black - L 46 x B 30,5 x H 30,5 cm 
11	597424	597424.7 3 x 60 g Felix KnabberMix zum Sonderpreis! -  Dreikäsehoch
12	391573	391573.9 Rinti Feinest Schälchen 11 x 150 g - Geflügel pur & Lachs
13	35611	35611.35 Rinti Extra Chicko - Wild (250 g)
14	523331	523331.2 Bozita Flavour Plus - Sparpaket: 2 x 12 kg
15	638334	638334.0 Prämie des Monats: Vitakraft  CHICKEN Hühnchentaler - Für Ihre Bonuspunkte
16	497411	497411.4 Concept for Life Sterilised Cats - 50 g Probiergröße
17	524692	524692.4 1 + 1 gratis! 2 x 400 g Concept for Life Katzentrockenfutter - Sensitive Cats
18	356906	356906.4 GranataPet Feinis Katzensnacks - Ente & Katzenminze (3 x 50 g)
19	4903	4903.16 Royal Canin Fit 32 - 400 g
20	11788	11788.18 Royal Canin Hair & Skin Care - 400 g
21	572916	572916.0 Concept for Life 50 g - gratis zum Probieren für Sie! - All Cats - High-Premiumnahrung gratis zum Probieren!
22	11783	11783.15 Royal Canin Hairball Care - 400 g NICHT AKTIVIEREN
23	351196	351196.0 catz finefood Probiermix 12 x 85 g - Mix I (6 Sorten)
24	226521	226521.3 Tigeria Sticklettis - Hühnchen 3 x 50 g
25	47421	47421.14 Royal Canin Indoor Long Hair - 400 g
26	218239	218239.13 Rinderkopfhaut - 500 g
27	405292	405292.0 Dokas Kaustange mit Hühnerbrust - 200 g
28	370544	370544.12 6 x 70 g Almo Nature Probierpaket - Mix Huhn (3 Sorten)
29	491730	491730.2 Jetzt gratis kennenlernen! 5 l Cat's Best Öko Plus Katzenstreu - Gratis ab 39 €!
30	606195	606195.7 Sonderpreis: Tigerino Canada Katzenstreu 15 kg - Lemongrass
31	585013	585013.1 Biokat's Classic 3in1 - Sparpaket: 3 x 10 l
32	611505	611505.0 3 x 190 g Perfect Fit Mixpaket - Jetzt gratis kennenlernen!
35	445245	445245.19 Sparpaket Animonda Carny Adult 24 x 200 g - Mix Rind & Geflügel (4 Sorten)
36	10987	10987.3 GimCat GrasBits - 140 g
37	10682	10682.5 PetSafe ssscat Fernhaltespray - 2 Nachfüllpatronen
38	568382	568382.1 3 + 1 gratis! 4 x 200 g Cookie´s Delikatess Kaurolle mit Hähnchenfiletstreifen - 4 x 200 g
39	555853	555853.0 Mixpaket: Frolic Hundesnacks 505 g - Mixpaket mit 3 Sorten
42	94686	94686.8 8in1 Delights Kauknochen - XS, 2 x 252 g (42 Stück)
45	557062	557062.1 60 g Dreamies Katzensnack - Für Ihre Bonuspunkte!
46	435589	435589.2 Josera Marinesse - 10 kg
47	324078	324078.2 Bozita Feline Large - 10 kg
48	7577	7577.1 Katzengras Nachfüllbeutel - 3 x 100 g
49	582036	582036.2 Sparpaket Catessy Sticks 50 Stück - Bar-B-Q mit Pute
50	590763	590763.0 GranataPet DeliCatessen 800 g Mixpaket - 12 x 800 g
51	209312	209312.1 Smilla Geflügeltöpfchen Probiermix -  6 x 200 g (4 Sorten)
52	630861	630861.0 Koali der Bär - L 55 x B 45 x H 9 cm
53	346668	346668.2 Gourmet Gold Terrine 12  x 85 g - Huhn, Karotten & Zucchini 
54	549746	549746.6 Gourmet Gold Raffiniertes Ragout 12 x 85 g - Lachs
55	277000	277000.0 Gourmet Gold Feine Pastete 12 x 85 g - Huhn
56	291862	291862.0 Kratzmöbel Relax - Ø 39 x H 14,5 cm
57	469846	469846.5 12 x 85 g im gemischten Probierpaket: Ultima - Gemischtes Sparpaket (12 x 85 g)
58	500074	500074.2 2 x 24 Quick Pick Kotbeutel-Etui - Für Ihre Bonuspunkte!
59	232428	232428.2 Kühlmatte Keep Cool - L 90 x B 50 cm
60	307822	307822.2 2 + 1 gratis! 3 x 1,5 kg Lukullus Premiumnahrung - Adult Barbarie-Ente & Lamm
61	3755	3755.1 Trixie Keramiknapf zweifarbig - Sparset: 2 x 300 ml, Ø 12 cm
62	590847	590847.0 GranataPet DeliCatessen gemischte Sparpakete 24 x 800 g - Probierpaket I
64	35611	35611.31 Rinti Extra Chicko - Schinken (4 x 170 g)
65	586392	586392.3 Wolf of Wilderness - Gefriergetrocknete Premium-Snacks - Lachs (70 g)
66	532919	532919.7 Corwex Filet-Stick - 3 x Thunfisch  22 g
67	279474	279474.6 Megapack Gourmet A la Carte 24 x 85 g - Truthahn mit Gemüse
68	277003	277003.0 Gourmet Gold Délicatesse en Sauce 12 x 85 g - Rind & Huhn in Tomatensauce
69	276993	276993.3 Gourmet Gold Zarte Häppchen 12  x 85 g - Kalb & Gemüse
70	9804	9804.16 Royal Canin Maine Coon Adult - 4 kg
71	36928	36928.2 Perfect Fit Sensitive 1+ - 12 x 85 g
72	7487	7487.0 Miamor Milde Mahlzeit 6 x 100 g - Geflügel Pur & Lachs
73	173156	173156.2 Applaws Pouch mit Brühe 12 x 70 g - Hühnerbrust mit Spargel
74	590744	590744.0 Probierpakete Animonda vom Feinsten Pouch - 6 x 50 g
75	561901	561901.0 Sparpaket Gourmet Gold Raffiniertes Ragout 24 x 85 g - Rind
77	603510	603510.1 Gratis Kuscheldecke Pawty L 100 x B 70 cm
78	569602	569602.3 10 + 2 gratis! 12 x 100 g Animonda Rafiné Soupé - 4 verschiedene Sorten Adult mit Kalb & Geflügel
79	276894	276894.6 Sparpaket Gourmet Gold Zarte Häppchen 24 x 85 g - Zarte Häppchen Mix
81	135584	135584.2 Tigerino Canada Katzenstreu - Babypuderduft - 15 kg
82	561901	561901.9 Sparpaket Gourmet Gold Raffiniertes Ragout 24 x 85 g - Thunfisch
84	277000	277000.4 Gourmet Gold Feine Pastete 12 x 85 g - Ente & Spinat 
85	36749	36749.0 HUNTER verstellbare Führleine Canadian Elk - 200 cm lang / 20 mm breit
86	569867	569867.3 Tigerino Canada Katzenstreu - Lemongrasduft - Doppelpack 2 x 15 kg
88	568142	568142.0 Trixie Floh- & Staubkamm - Für Ihre Bonuspunkte!
89	568215	568215.0 Mini Pet Trimmer CP-1178 - Für Ihre Bonuspunkte!
90	477248	477248.0 50 ml Trixie Ohrenpflege - Für Ihre Bonuspunkte!
91	4926	4926.1 Royal Canin Special Club Performance Adult CC - 15 kg
92	605468	605468.0 Probierpreis: 1,5 kg Josera - Balance (1,5 kg)
93	251392	251392.0 Thrive Complete 6 x 75 g - Thunfischfilet
94	592299	592299.3 Animonda Integra Protect Adult Niere Schale 6 x 100 g - mit Rind
95	583866	583866.0 Lupo Sensitiv 1,5 kg zum Sonderpreis! - Sensitiv 24/10
96	439994	439994.0 Sonderpreis: 2 kg Greenwoods Trockenfutter! - Senior / Light Truthahn & Reis
97	347246	347246.3 Animonda Kittenpakete Mixpaket 4 - 3-teiliges Set Animonda Kitten 24 x 100 g + 6 x 200 g + 6 x 200 g
98	600332	600332.2 Briantos Adult Lamm & Reis - zum Probierpreis! - 800 g
100	592412	592412.0 Animonda Integra Protect Adult Intestinal Schale 6 x 100 g - mit Pute
101	479505	479505.2 Kattovit Gastro Pouch 6 x 85 g - 6 x 85 g Ente & Reis
102	439932	439932.1 MAC´s Cat Multipack 12 x 100 g - mit Fisch
103	479505	479505.0 Kattovit Gastro Pouch 6 x 85 g - 6 x 85 g Pute & Reis
104	162490	162490.6 Hill's Prescription Diet i/d Digestive Care Katzenfutter mit Huhn - 1,5 kg
105	442347	442347.1 Probierpaket Kattovit Gastro - Trockenfutter + Nassfutter Truthahn
106	569564	569564.3 1 x 370 g  Bozita Häppchen - Gelee: mit viel Huhn - Für Ihre Bonuspunkte!
107	136559	136559.1 Dokas Hundesnack Hühnerbrust Kaurolle - 3 x 90 g
108	404993	404993.3 Purina ONE Coat & Hairball - 800 g
109	461069	461069.0 Barkoo Kaustange natur ca. 29 cm - 3 St. (570 g)
111	471692	471692.4 6 x 400 g Rinti im gemischten Probierpaket - Sensible Mix 
114	598934	598934.3 Probiergröße: 14 kg Golden Katzenstreu - Golden White
116	569766	569766.1 Trixie Chickies - Sparpaket: 2 x 100 g
117	525558	525558.1 Rocco Chings - Hühnerbrust getrocknet 250 g
118	561609	"561609.2 Felix ""So gut wie es aussieht"" Pouches 88 x 100 g - Huhn, Rind, Ente, Lamm"
119	409738	409738.0 Probierangebot: Purizon 400 g - Adult Huhn & Fisch
120	610346	610346.2 10 + 2 gratis! 12 x 100 g Gemischtes Probierpack Miamor Ragout Royale - Multi-Mix in Soße
121	577542	577542.4 400 g bzw. 1 kg Purizon Hundetrockennahrung zum Sonderpreis xxx nicht anschalten! - Adult Lamm & Lachs 400 g
122	577886	577886.1 2 + 1 gratis! 3 x 1 kg Wolf of Wilderness Trockenfutter - Adult Sunny Glade - Hirsch
123	346336	346336.3 Kuschelkissen für Hundeboxen - XL: L 109 x B 69 x H 10 cm
124	45686	45686.0 Meradog Tandem - 10 kg
125	560488	560488.2 Sparpaket Yarrah Bio Pâté  12 x 400 g - Mix Huhn + Fisch
127	590338	590338.0 2 x 130 g Herrmanns Bio-Huhn mit Hirse Pouch GRATIS - Jetzt gratis kennenlernen!
128	530863	530863.2 Miamor Pastete 12 x 85 g - Huhn
